index;p_err;d_err;i_err;rb_speed;U_control;angle
0;-0,3534728;-84,81651;-0,005892391;15,85556;-422,6012;-7,0448
1;-0,3759925;-5,403656;-0,01216019;15,92573;-27,98986;-0,4666
2;-0,3988239;-5,478436;-0,01880858;15,99605;-28,43314;-0,474
3;-0,4224862;-5,677816;-0,02585142;16,05713;-29,49836;-0,4917
4;-0,4470875;-5,903134;-0,03330437;16,11351;-30,69549;-0,5117
5;-0,4728383;-6,17896;-0,04118659;16,16216;-32,1473;-0,5359
6;-0,498887;-6,250443;-0,04950303;16,2328;-32,58463;-0,5432
7;-0,5249848;-6,262207;-0,05825453;16,30584;-32,7255;-0,5455
8;-0,5508744;-6,212256;-0,0674376;16,38868;-32,55923;-0,5428
9;-0,5764557;-6,138299;-0,07704712;16,46511;-32,27292;-0,538
10;-0,601599;-6,033192;-0,08707577;16,54567;-31,83068;-0,5306
11;-0,6261934;-5,901468;-0,09751441;16,61916;-31,25471;-0,521
12;-0,6501391;-5,745816;-0,1083522;16,69536;-30,55805;-0,5094
13;-0,6733646;-5,573017;-0,1195772;16,7642;-29,77419;-0,4963
14;-0,6957985;-5,383039;-0,1311762;16,83599;-28,90275;-0,4818
15;-0,7173743;-5,177159;-0,1431348;16,90094;-27,94987;-0,4659
16;-0,7380396;-4,958677;-0,1554379;16,96889;-26,9318;-0,449
17;-0,7577702;-4,734418;-0,1680699;17,0294;-25,88236;-0,4315
18;-0,776508;-4,496157;-0,1810143;17,09335;-24,7605;-0,4128
19;-0,7942303;-4,252503;-0,1942541;17,15031;-23,60893;-0,3936
20;-0,8108838;-3,996036;-0,2077716;17,21119;-22,3906;-0,3733
21;-0,8264673;-3,739296;-0,2215488;17,26392;-21,16783;-0,3529
22;-0,8409036;-3,464035;-0,2355667;17,32253;-19,84968;-0,3309
23;-0,854197;-3,189775;-0,2498061;17,37258;-18,53318;-0,3089
24;-0,8662968;-2,903372;-0,2642473;17,42822;-17,15285;-0,2859
25;-0,8771807;-2,611606;-0,2788699;17,47667;-15,74229;-0,2624
26;-0,8868364;-2,316908;-0,2936535;17,5298;-14,31356;-0,2386
27;-0,895217;-2,01094;-0,3085767;17,57494;-12,82505;-0,2138
28;-0,9022985;-1,699222;-0,3236181;17,62747;-11,30413;-0,1884
29;-0,9081166;-1,396072;-0,3387564;17,67025;-9,822042;-0,1637
30;-0,9126068;-1,077417;-0,3539695;17,72047;-8,25895;-0,1377
31;-0,9157781;-0,7609658;-0,3692355;17,7596;-6,702875;-0,1117
32;-0,9175547;-0,426293;-0,3845312;17,80671;-5,05207;-0,0842
33;-0,917934;-0,09101955;-0,3998331;17,8444;-3,394091;-0,0566
34;-0,9175504;0,09203501;-0,4151287;17,9097;-2,490348;-0,0415
35;-0,9169327;0,1482286;-0,430414;17,97845;-2,216397;-0,0369
36;-0,916324;0,1460546;-0,4456891;18,06139;-2,232554;-0,0372
37;-0,9159796;0,08263843;-0,4609585;18,1359;-2,553876;-0,0426
38;-0,9156495;0,07922019;-0,4762223;18,21743;-2,577049;-0,043
39;-0,915296;0,08481237;-0,4914803;18,28875;-2,555366;-0,0426
40;-0,9153052;-0,002202547;-0,5067385;18,36798;-2,995029;-0,0499
41;-0,9158237;-0,1244153;-0,5220053;18,43799;-3,611158;-0,0602
42;-0,9169071;-0,2599721;-0,5372901;18,51488;-4,295309;-0,0716
43;-0,9185856;-0,4027515;-0,5526029;18,58191;-5,017155;-0,0836
44;-0,9207824;-0,5271239;-0,5679524;18,65559;-5,64909;-0,0942
45;-0,9234822;-0,6478206;-0,5833468;18,7207;-6,264288;-0,1044
46;-0,9265545;-0,7372097;-0,5987925;18,79297;-6,725028;-0,1121
47;-0,9299231;-0,8082919;-0,6142943;18,85697;-7,095698;-0,1183
48;-0,9334606;-0,8488388;-0,6298551;18,92823;-7,315142;-0,1219
49;-0,9370972;-0,8726091;-0,6454765;18,99175;-7,451533;-0,1242
50;-0,9407244;-0,8703494;-0,6611584;19,06253;-7,458554;-0,1243
51;-0,9442979;-0,8574774;-0,6768999;19,12584;-7,412699;-0,1236
52;-0,9477388;-0,8256549;-0,6926987;19,19636;-7,272289;-0,1212
53;-0,9510323;-0,790271;-0,7085524;19,25953;-7,113763;-0,1186
54;-0,9541185;-0,7405564;-0,7244575;19,33003;-6,883416;-0,1147
55;-0,9570062;-0,6929013;-0,7404108;19,39332;-6,662731;-0,1111
56;-0,9596695;-0,6390676;-0,7564085;19,46417;-6,410686;-0,1069
57;-0,9621422;-0,5933147;-0,7724474;19,52789;-6,198251;-0,1033
58;-0,9644163;-0,5456882;-0,7885242;19,5994;-5,975925;-0,0996
59;-0,9665392;-0,5093891;-0,8046364;19,66372;-5,809461;-0,0968
60;-0,9685104;-0,4729899;-0,8207815;19,73599;-5,642058;-0,0941
61;-0,9703815;-0,4489764;-0,8369578;19,80094;-5,535927;-0,0923
62;-0,9721518;-0,4247912;-0,8531635;19,87386;-5,428655;-0,0905
63;-0,9738722;-0,4128203;-0,869398;19,93927;-5,38195;-0,0897
64;-0,9755363;-0,3992904;-0,8856602;20,01263;-5,327342;-0,0888
65;-0,9771869;-0,3960723;-0,9019499;20,07832;-5,323956;-0,0888
66;-0,9788079;-0,3889641;-0,9182666;20,15194;-5,301161;-0,0884
67;-0,9804331;-0,3899653;-0,9346104;20,21778;-5,318694;-0,0887
68;-0,9820372;-0,3849166;-0,950981;20,29209;-5,306108;-0,0885
69;-0,9836468;-0,3862038;-0,9673784;20,35837;-5,325041;-0,0888
70;-0,9852298;-0,3798536;-0,9838021;20,43328;-5,305949;-0,0885
71;-0,9868083;-0,3787666;-1,000252;20,50006;-5,313014;-0,0886
72;-0,9883471;-0,369227;-1,016728;20,57553;-5,277961;-0,088
73;-0,9898667;-0,3646503;-1,033229;20,64281;-5,267529;-0,0878
74;-0,9913311;-0,3513778;-1,049755;20,71888;-5,213726;-0,0869
75;-0,9927624;-0,3434543;-1,066304;20,78668;-5,186418;-0,0865
76;-0,994126;-0,3271784;-1,082876;20,86336;-5,117406;-0,0853
77;-0,9954463;-0,3168235;-1,09947;20,93172;-5,077703;-0,0846
78;-0,9966909;-0,2986454;-1,116085;21,00907;-4,9989;-0,0833
79;-0,9978878;-0,2871893;-1,13272;21,07802;-4,953372;-0,0826
80;-0,9990064;-0,2684104;-1,149373;21,15606;-4,871224;-0,0812
81;-1,000078;-0,2570401;-1,166044;21,22563;-4,825763;-0,0804
82;-1,001072;-0,2386188;-1,182732;21,30439;-4,745036;-0,0791
83;-1,002023;-0,2281782;-1,199436;21,37461;-4,703849;-0,0784
